Molecule,Mode,nu_R1,nu_R1+B2,nu_MPNN,nu_CCSD(T),nu_exp
C2H2,C#C stretch,2207.7,2239.0,2294.7,2013.8,1974.3
C2H2,C-H asym stretch,3044.3,3044.3,3417.3,3415.4,3288.6
C2H2,C-H sym stretch,3044.3,3044.3,3417.3,3509.1,3372.8
C2H2O,C-H asym stretch,3044.3,3044.3,3109.6,3310.2,3165.3
C2H2O,C-H sym stretch,3044.3,3044.3,3109.6,3201.4,3070.4
C2H2O2,C-C stretch,1045.9,1045.9,1058.9,1066.9,1047.9
C2H2O2,C-H asym stretch,3044.3,3044.3,3087.1,2989.3,2835.1
C2H2O2,C-H sym stretch,3044.3,3044.3,3087.1,2992.8,2844.0
C2H2O2,C=O asym stretch,1615.9,1807.8,1802.3,1768.6,1732.1
C2H2O2,C=O sym stretch,1615.9,1807.8,1802.3,1787.2,1745.0
C2H3N,C#N sym stretch,2161.8,2356.0,2376.6,2314.9,2266.4
C2H3N,C-C sym stretch,1045.9,1045.9,1001.0,925.6,919.9
C2H3N,C-H asym stretch,3044.3,3044.3,3222.4,3157.6,3040.7
C2H3N,C-H asym stretch,3044.3,3044.3,3222.4,3157.8,3040.7
C2H3N,C-H sym stretch,3044.3,3044.3,3222.4,3072.5,2953.9
C2H3N_1,C-H asym stretch,3044.3,3044.3,3211.6,3159.1,3013.0
C2H3N_1,C-H asym stretch,3044.3,3044.3,3211.6,3159.3,3013.0
C2H3N_1,C-H sym stretch,3044.3,3044.3,3211.6,3073.2,2967.0
C2H3N_1,C-N stretch,1024.2,1024.2,953.2,959.3,944.9
C2H3N_1,N#C stretch,2161.8,2161.8,2276.0,2206.4,2161.0
C2H3OF,C-C stretch,1045.9,1045.9,998.9,1220.2,1188.0
C2H3OF,C-H asym stretch,3044.3,3044.3,3073.0,3148.1,3004.0
C2H3OF,C-H asym stretch,3044.3,3044.3,3073.0,3190.2,3043.0
C2H3OF,C-H sym stretch,3044.3,3044.3,3073.0,3072.7,2955.0
C2H4O,C-C stretch,1045.9,1045.9,1022.7,898.5,867.0
C2H4O,C-H asym stretch,3044.3,3044.3,3048.4,3112.1,2964.4
C2H4O,C-H asym stretch,3044.3,3044.3,3048.4,3163.9,3014.0
C2H4O,C-H stretch,3044.3,3044.3,3048.4,2925.6,2715.8
C2H4O,C-H sym stretch,3044.3,3044.3,3048.4,3043.0,2923.0
C2H4O,C=O stretch,1615.9,1807.8,1827.6,1795.8,1747.0
C2H4O2,C-H asym stretch,3044.3,3044.3,3052.4,3069.8,2943.0
C2H4O2,C-H asym stretch,3044.3,3044.3,3052.4,3151.6,3012.0
C2H4O2,C-H asym stretch,3044.3,3044.3,3052.4,3185.6,3045.0
C2H4O2,C-H sym stretch,3044.3,3044.3,3052.4,3083.4,2969.0
C2H4O2,C-O asym stretch,1008.6,1008.6,1070.7,1201.1,1168.0
C2H4O2,C-O sym stretch,1008.6,1008.6,1070.7,958.0,925.0
C2H4O2,C=O stretch,1615.9,1807.8,1836.3,1795.3,1754.0
C2H4O2_1,C-C stretch,1045.9,1045.9,1001.5,872.4,847.0
C2H4O2_1,C-H asym stretch,3044.3,3044.3,3064.5,3143.7,2996.0
C2H4O2_1,C-H asym stretch,3044.3,3044.3,3064.5,3187.2,3051.0
C2H4O2_1,C-H sym stretch,3044.3,3044.3,3064.5,3070.1,2944.0
C2H4O2_1,C-O stretch,1008.6,1008.6,1039.6,1222.8,1182.0
C2H4O2_1,C=O stretch,1615.9,1807.8,1804.6,1832.1,1788.0
C2H4O2_1,O-H stretch,3116.9,3116.9,3727.1,3784.6,3585.2
C2H5F,C-C stretch,1045.9,1045.9,1018.0,897.2,881.0
C2H5F,C-F stretch,985.2,985.2,1029.0,1087.0,1050.0
C2H5F,C-H asym stretch,3044.3,3044.3,3022.3,3051.5,2920.0
C2H5F,C-H asym stretch,3044.3,3044.3,3022.3,3062.2,2947.0
C2H5F,C-H asym stretch,3044.3,3044.3,3022.3,3130.2,2985.0
C2H5F,C-H asym stretch,3044.3,3044.3,3022.3,3145.1,3000.0
C2H5F,C-H sym stretch,3044.3,3044.3,3022.3,3107.6,2965.0
C2H6,C-C stretch,1045.9,1045.9,1031.7,1016.5,993.0
C2H6,C-H asym stretch,3044.3,3044.3,2997.8,1518.3,1468.0
C2H6,C-H asym stretch,3044.3,3044.3,2997.8,3044.8,2954.0
C2H6,C-H asym stretch,3044.3,3044.3,2997.8,3103.7,2968.7
C2H6,C-H asym stretch,3044.3,3044.3,2997.8,3103.8,2968.7
C2H6,C-H asym stretch,3044.3,3044.3,2997.8,3126.9,2985.0
C2H6,C-H sym stretch,3044.3,3044.3,2997.8,3044.2,2895.6
C2H6O,C-H asym stretch,3044.3,3044.3,2970.7,2995.6,2817.0
C2H6O,C-H asym stretch,3044.3,3044.3,2970.7,2987.8,2817.4
C2H6O,C-H asym stretch,3044.3,3044.3,2970.7,3046.5,2952.0
C2H6O,C-H asym stretch,3044.3,3044.3,2970.7,3139.2,2996.0
C2H6O,C-H asym stretch,3044.3,3044.3,2970.7,3140.7,2996.0
C2H6O,C-H sym stretch,3044.3,3044.3,2970.7,3040.5,2925.0
C2H6O,C-O asym stretch,1008.6,1008.6,1090.6,1218.1,1227.0
C2H6O,C-O stretch,1008.6,1008.6,1090.6,1133.1,1104.0
C2H6O,C-O sym stretch,1008.6,1008.6,1090.6,963.3,933.9
C2HF,C#C stretch,2207.7,2239.0,2250.4,2286.8,2239.2
C2HF,C-F stretch,985.2,985.2,968.4,1073.9,1061.4
C2HF,C-H stretch,3044.3,3044.3,3391.3,3485.8,3357.0
C2N2,C#N asym stretch,2161.8,2356.0,2369.5,2198.9,2157.8
C2N2,C#N sym stretch,2161.8,2356.0,2369.5,2384.2,2330.5
C2N2,C-C stretch,1045.9,1045.9,1019.8,859.9,845.6
C3H3F,C#C stretch,2207.7,2239.0,2261.8,2189.4,2150.0
C3H3F,C-C stretch,1045.9,1045.9,990.5,947.6,940.0
C3H3F,C-F stretch,985.2,985.2,993.9,1077.1,1039.0
C3H3F,C-H asym stretch,3044.3,3044.3,3238.9,3122.8,2972.0
C3H3F,C-H stretch,3044.3,3044.3,3238.9,3462.4,3338.0
C3H3F,C-H sym stretch,3044.3,3044.3,3238.9,3074.6,2955.0
C3H3N,C#N stretch,2161.8,2356.0,2362.9,2287.7,2240.0
C3H3N,C-C stretch,1045.9,1045.9,1033.9,874.5,869.0
C3H3N,C-H asym stretch,3044.3,3044.3,3206.0,3204.6,3078.0
C3H3N,C-H asym stretch,3044.3,3044.3,3206.0,3268.5,3123.0
C3H3N,C-H sym stretch,3044.3,3044.3,3206.0,3166.6,3042.0
C3H3N,C=C stretch,1675.7,1625.4,1610.9,1665.2,1615.0
C3H4,C-H asym stretch,3044.3,3044.3,3122.0,3145.5,3006.7
C3H4,C-H asym stretch,3044.3,3044.3,3122.0,3232.7,3085.5
C3H4,C-H asym stretch,3044.3,3044.3,3122.0,3232.8,3085.5
C3H4,C-H sym stretch,3044.3,3044.3,3122.0,3147.3,3015.0
C3H4,C=C=C stretch,1675.7,1625.4,1619.6,2017.7,1959.4
C3H4O,C-C stretch,1045.9,1045.9,1064.9,1177.1,1153.4
