Molecule,Formula,SMILES,n_modes,R1+B2 relMAE%,MPNN relMAE%
C2H2,HCCH ,C#C,3,11.77,5.54
C2H2O,CH2CO,C=C=O,2,6.47,4.47
C2H2O2,O=CHCH=O ,C(=O)C=O,5,1.78,1.99
C2H3N,CH3CN ,CC#N,5,4.57,3.96
C2H3N_1,CH3NC ,C[N+]#[C-],5,3.40,2.32
C2H3OF,CH3COF,CC(=O)F,4,5.77,6.05
C2H4O,CH3CHO ,CC=O,6,4.52,4.28
C2H4O2,HCOOCH3 ,COC=O,7,4.56,4.83
C2H4O2_1,CH3COOH,CC(=O)O,7,9.27,5.62
C2H5F,CH3CH2F,CCF,7,4.96,4.45
C2H6,CH3CH3 ,CC,7,15.70,16.14
C2H6O,CH3OCH3 ,COC,9,4.74,4.93
C2HF,HCCF ,C#CF,3,7.67,4.71
C2N2,C2N2 ,C(#N)C#N,3,9.99,8.99
C3H3F,HCCCH2F ,C#CCF,6,6.12,5.18
C3H3N,CH2CHCN,C=CC#N,6,6.78,4.66
C3H4,CH2=C=CH2 ,C=C=C,5,7.52,5.63
C3H4O,CH2CHCHO ,C=CC=O,7,4.89,4.03
C3H4_1,CH3CCH ,CC#C,5,83.97,91.30
C3H6,CH2CHCH3,CC=C,8,4.26,2.90
C3H8,CH3CH2CH3,CCC,10,3.05,3.68
C4H2,HCCCCH,C#CC#C,3,13.81,5.06
C4H6,CH2=CHCH=CH2 ,C=CC=C,8,15.19,13.67
C4N2,CNCCCN,C(#CC#N)C#N,5,26.85,26.28
C6H8,CH2CHCHCHCHCH2,C=CC=CC=C,12,16.69,16.28
CF4,CF4,C(F)(F)(F)F,4,20.21,18.68
CH,CH ,[CH],1,6.73,1.62
CH2N2,CH2N2,C=[N+]=[N-],2,7.08,5.62
CH2O2,HCOOH ,C(=O)O,4,7.80,2.56
CH3F,CH3F ,CF,4,78.39,74.69
CH3N,CH3N,C=N,4,48.33,51.81
CH3NO,CH3NO,C(=O)N,5,11.00,7.21
CH4,CH4 ,C,4,2.80,6.52
CH4O,CH3OH,CO,5,5.98,2.28
CH5N,CH3NH2,CN,6,6.10,3.21
CHF3,CHF3 ,C(F)(F)F,3,56.27,57.04
CO,CO,[C-]#[O+],1,1.90,7.72
COF2,COF2,C(=O)(F)F,2,11.51,11.78
F2,F2 ,FF,1,4.78,5.75
F2O,F2O ,O(F)F,2,4.61,4.46
H2CO,H2CO ,C=O,3,2.07,1.16
H2O,H2O ,O,2,20.03,3.13
HCN,HCN ,C#N,2,11.02,6.53
HCO,HCO ,[CH]=O,1,4.48,4.97
HNCO,HNCO ,C(=N)=O,1,16.56,3.69
HNO,HNO,N=O,2,8.67,15.60
HNO3,HNO3 ,[N+](=O)(O)[O-],3,13.45,8.31
HO2,HO2,O[O],2,15.28,13.46
HOF,HOF ,OF,2,8.99,2.52
N2F2,N2F2 ,N(=N/F)\F,2,8.23,14.77
N2H4,NH2NH2,NN,5,12.61,8.36
NF3,NF3 ,N(F)(F)F,2,1.43,9.89
NH,NH ,[NH],1,7.79,12.38
NH3,NH3 ,N,3,13.77,3.49
NHF2,NHF2,N(F)F,3,5.78,9.57
NO2,NO2 ,N(=O)[O],2,34.64,41.76
O3,O3 ,[O-][O+]=O,2,19.57,21.79
c-C3H3NO,c-C3H3NO,C1=COC=N1,8,10.68,8.21
c-C3H3NO_1,c-C3H3NO_1,C1=CON=C1,7,7.79,5.93
c-C3H6,c-C3H6 ,C1CC1,8,7.86,4.64
c-C4H4N2,c-C4H4N2,C1=CN=CC=N1,5,6.30,4.59
c-C4H4O,c-C4H4O,C1=COC=C1,7,7.89,3.06
c-C4H5N,c-C4H5N,C1=CNC=C1,6,72.74,72.92
c-C4H8O2,c-C4H8O2,C1COCCO1,12,4.71,3.65
c-C5H5N,c-C5H5N,C1=CC=NC=C1,8,5.01,2.72
c-CH2N4,c-CH2N4,C1=NNN=N1,8,12.33,12.58
sin-CH2,CH2 singlet ,[CH2],2,2.78,2.76
tri-CH2,CH2 triplet,[CH2],2,6.48,11.52
